clinvar_class,rAF5,log_key
B/LB,2.39047634225247e-05,0
B/LB,5.82231944571519e-05,0
B/LB,1.59488997252802e-05,0
B/LB,0.000177864440945712,0
B/LB,0.247336773012174,0
B/LB,3.19241482238202e-05,0
B/LB,1.59703590136706e-05,0
B/LB,1.10882257214546,0
B/LB,1.10882257214546,0
B/LB,0.000493616818002683,0
B/LB,5.5560494266157e-05,0
B/LB,1.59154570919277e-05,0
B/LB,6.79134443152203e-05,0
B/LB,0.0127424469388946,0
B/LB,0.000121693980204446,0
B/LB,8.51585652484927e-06,0
B/LB,7.95937534822267e-06,0
B/LB,8.20937181886842e-06,0
B/LB,1.70677590032429e-05,0
B/LB,7.96692134258558e-05,0
B/LB,8.74981108362433e-05,0
B/LB,2.38944819676309e-05,0
B/LB,5.66907197291803e-05,0
B/LB,6.39559982731881e-05,0
B/LB,0.00139764127481327,0
B/LB,5.6005824605759e-05,0
B/LB,0.0003536503683858,0
B/LB,1.59195109526235e-05,0
B/LB,2.38752755604721e-05,0
B/LB,1.59072290402373e-05,0
B/LB,5.83547300676915e-05,0
B/LB,0.000103748513603026,0
B/LB,2.38680573788099e-05,0
B/LB,7.95956540772874e-06,0
B/LB,2.79532621456924e-05,0
B/LB,1.46705444636588,0
B/LB,0.212730559964689,0
B/LB,4.84042724837846e-05,0
B/LB,5.654007075586e-05,0
B/LB,8.01089481695105e-06,0
B/LB,2.38807871107432e-05,0
B/LB,8.05399397561251e-06,0
B/LB,1.03296181140183e-05,0
B/LB,1.5922679468501e-05,0
B/LB,1.59946258057293e-05,0
B/LB,1.59946258057293e-05,0
B/LB,2.82789434986709e-05,0
B/LB,8.60274255432632e-05,0
B/LB,5.57231673048296e-05,0
B/LB,2.46546297285525e-05,0
B/LB,7.97212943549352e-06,0
B/LB,0.000328762729532515,0
B/LB,0.000448788071854176,0
B/LB,3.97845270017585e-05,0
B/LB,7.96254419212027e-06,0
B/LB,7.97212943549352e-06,0
B/LB,4.00406813322336e-05,0
B/LB,0.000307236055929898,0
B/LB,8.03006456171908e-06,0
B/LB,1.60217896339021e-05,0
